Iteration: 1, SVM accuracy: 64.253:
Iteration: 2, SVM accuracy: 64.383:
Iteration: 3, SVM accuracy: 50.073:
Iteration: 4, SVM accuracy: 32.572:
Iteration: 5, SVM accuracy: 57.225:
Iteration: 6, SVM accuracy: 51.600:
Iteration: 7, SVM accuracy: 65.793:
Iteration: 8, SVM accuracy: 53.565:
Iteration: 9, SVM accuracy: 45.334:
Iteration: 10, SVM accuracy: 63.057:
Iteration: 11, SVM accuracy: 53.791:
Iteration: 12, SVM accuracy: 45.439:
Iteration: 13, SVM accuracy: 60.777:
Iteration: 14, SVM accuracy: 64.781:
Iteration: 15, SVM accuracy: 53.300:
Iteration: 16, SVM accuracy: 51.848:
Iteration: 17, SVM accuracy: 57.674:
Iteration: 18, SVM accuracy: 36.676:
Iteration: 19, SVM accuracy: 62.919:
Iteration: 20, SVM accuracy: 48.827:
Iteration: 21, SVM accuracy: 67.805:
Iteration: 22, SVM accuracy: 56.558:
Iteration: 23, SVM accuracy: 34.862:
Iteration: 24, SVM accuracy: 44.943:
Iteration: 25, SVM accuracy: 53.640:
Iteration: 26, SVM accuracy: 40.904:
Iteration: 27, SVM accuracy: 53.203:
Iteration: 28, SVM accuracy: 54.595:
Iteration: 29, SVM accuracy: 52.426:
Iteration: 30, SVM accuracy: 37.974:
Iteration: 31, SVM accuracy: 56.151:
Iteration: 32, SVM accuracy: 33.929:
Iteration: 33, SVM accuracy: 61.087:
Iteration: 34, SVM accuracy: 62.989:
Iteration: 35, SVM accuracy: 43.047:
Iteration: 36, SVM accuracy: 41.655:
Iteration: 37, SVM accuracy: 60.740:
Iteration: 38, SVM accuracy: 43.676:
Iteration: 39, SVM accuracy: 46.862:
Iteration: 40, SVM accuracy: 50.066:
Iteration: 41, SVM accuracy: 39.723:
Iteration: 42, SVM accuracy: 42.602:
Iteration: 43, SVM accuracy: 49.826:
Iteration: 44, SVM accuracy: 60.839:
Iteration: 45, SVM accuracy: 49.052:
Iteration: 46, SVM accuracy: 47.821:
Iteration: 47, SVM accuracy: 61.455:
Iteration: 48, SVM accuracy: 52.693:
Iteration: 49, SVM accuracy: 62.733:
Iteration: 50, SVM accuracy: 48.095:
Iteration: 51, SVM accuracy: 41.385:
Iteration: 52, SVM accuracy: 58.419:
Iteration: 53, SVM accuracy: 58.543:
Iteration: 54, SVM accuracy: 54.852:
Iteration: 55, SVM accuracy: 52.772:
Iteration: 56, SVM accuracy: 46.867:
Iteration: 57, SVM accuracy: 59.523:
Iteration: 58, SVM accuracy: 45.536:
Iteration: 59, SVM accuracy: 47.530:
Iteration: 60, SVM accuracy: 57.806:
Iteration: 61, SVM accuracy: 49.022:
Iteration: 62, SVM accuracy: 29.233:
Iteration: 63, SVM accuracy: 53.923:
Iteration: 64, SVM accuracy: 51.480:
Iteration: 65, SVM accuracy: 41.174:
Iteration: 66, SVM accuracy: 41.592:
Iteration: 67, SVM accuracy: 53.074:
Iteration: 68, SVM accuracy: 50.610:
Iteration: 69, SVM accuracy: 52.980:
Iteration: 70, SVM accuracy: 52.956:
Iteration: 71, SVM accuracy: 61.421:
Iteration: 72, SVM accuracy: 49.523:
Iteration: 73, SVM accuracy: 56.625:
Iteration: 74, SVM accuracy: 51.433:
Iteration: 75, SVM accuracy: 55.235:
Iteration: 76, SVM accuracy: 53.005:
Iteration: 77, SVM accuracy: 49.107:
Iteration: 78, SVM accuracy: 47.961:
Iteration: 79, SVM accuracy: 49.604:
Iteration: 80, SVM accuracy: 60.418:
Iteration: 81, SVM accuracy: 44.184:
Iteration: 82, SVM accuracy: 46.491:
Iteration: 83, SVM accuracy: 65.213:
Iteration: 84, SVM accuracy: 44.774:
Iteration: 85, SVM accuracy: 58.900:
Iteration: 86, SVM accuracy: 53.689:
Iteration: 87, SVM accuracy: 55.185:
Iteration: 88, SVM accuracy: 56.455:
Iteration: 89, SVM accuracy: 57.298:
Iteration: 90, SVM accuracy: 69.261:
Iteration: 91, SVM accuracy: 48.215:
Iteration: 92, SVM accuracy: 60.815:
Iteration: 93, SVM accuracy: 57.321:
Iteration: 94, SVM accuracy: 57.795:
Iteration: 95, SVM accuracy: 42.165:
Iteration: 96, SVM accuracy: 60.429:
Iteration: 97, SVM accuracy: 59.967:
Iteration: 98, SVM accuracy: 52.116:
Iteration: 99, SVM accuracy: 57.575:
Iteration: 100, SVM accuracy: 59.500:
Average SVM accuracy: 52.368:
