Iteration: 1, SVM accuracy: 36.862:
Iteration: 2, SVM accuracy: 48.215:
Iteration: 3, SVM accuracy: 35.779:
Iteration: 4, SVM accuracy: 30.597:
Iteration: 5, SVM accuracy: 43.341:
Iteration: 6, SVM accuracy: 53.406:
Iteration: 7, SVM accuracy: 47.865:
Iteration: 8, SVM accuracy: 52.409:
Iteration: 9, SVM accuracy: 44.389:
Iteration: 10, SVM accuracy: 53.781:
Iteration: 11, SVM accuracy: 49.974:
Iteration: 12, SVM accuracy: 56.064:
Iteration: 13, SVM accuracy: 40.269:
Iteration: 14, SVM accuracy: 50.899:
Iteration: 15, SVM accuracy: 39.626:
Iteration: 16, SVM accuracy: 52.001:
Iteration: 17, SVM accuracy: 43.623:
Iteration: 18, SVM accuracy: 42.343:
Iteration: 19, SVM accuracy: 33.351:
Iteration: 20, SVM accuracy: 37.233:
Iteration: 21, SVM accuracy: 46.506:
Iteration: 22, SVM accuracy: 49.767:
Iteration: 23, SVM accuracy: 53.739:
Iteration: 24, SVM accuracy: 46.120:
Iteration: 25, SVM accuracy: 43.881:
Iteration: 26, SVM accuracy: 47.291:
Iteration: 27, SVM accuracy: 49.021:
Iteration: 28, SVM accuracy: 58.282:
Iteration: 29, SVM accuracy: 48.583:
Iteration: 30, SVM accuracy: 47.615:
Iteration: 31, SVM accuracy: 48.936:
Iteration: 32, SVM accuracy: 52.355:
Iteration: 33, SVM accuracy: 36.611:
Iteration: 34, SVM accuracy: 36.221:
Iteration: 35, SVM accuracy: 40.968:
Iteration: 36, SVM accuracy: 45.898:
Iteration: 37, SVM accuracy: 38.864:
Iteration: 38, SVM accuracy: 51.160:
Iteration: 39, SVM accuracy: 48.683:
Iteration: 40, SVM accuracy: 39.930:
Iteration: 41, SVM accuracy: 39.572:
Iteration: 42, SVM accuracy: 49.143:
Iteration: 43, SVM accuracy: 47.219:
Iteration: 44, SVM accuracy: 42.723:
Iteration: 45, SVM accuracy: 36.825:
Iteration: 46, SVM accuracy: 35.277:
Iteration: 47, SVM accuracy: 55.515:
Iteration: 48, SVM accuracy: 31.828:
Iteration: 49, SVM accuracy: 43.160:
Iteration: 50, SVM accuracy: 49.561:
Iteration: 51, SVM accuracy: 40.906:
Iteration: 52, SVM accuracy: 46.705:
Iteration: 53, SVM accuracy: 41.771:
Iteration: 54, SVM accuracy: 41.037:
Iteration: 55, SVM accuracy: 46.932:
Iteration: 56, SVM accuracy: 34.777:
Iteration: 57, SVM accuracy: 47.398:
Iteration: 58, SVM accuracy: 55.602:
Iteration: 59, SVM accuracy: 32.372:
Iteration: 60, SVM accuracy: 51.496:
Iteration: 61, SVM accuracy: 46.148:
Iteration: 62, SVM accuracy: 49.275:
Iteration: 63, SVM accuracy: 39.781:
Iteration: 64, SVM accuracy: 53.105:
Iteration: 65, SVM accuracy: 43.660:
Iteration: 66, SVM accuracy: 42.469:
Iteration: 67, SVM accuracy: 42.437:
Iteration: 68, SVM accuracy: 57.113:
Iteration: 69, SVM accuracy: 40.441:
Iteration: 70, SVM accuracy: 46.609:
Iteration: 71, SVM accuracy: 39.223:
Iteration: 72, SVM accuracy: 52.809:
Iteration: 73, SVM accuracy: 46.879:
Iteration: 74, SVM accuracy: 44.845:
Iteration: 75, SVM accuracy: 44.556:
Iteration: 76, SVM accuracy: 45.996:
Iteration: 77, SVM accuracy: 49.344:
Iteration: 78, SVM accuracy: 38.184:
Iteration: 79, SVM accuracy: 45.713:
Iteration: 80, SVM accuracy: 28.701:
Iteration: 81, SVM accuracy: 52.248:
Iteration: 82, SVM accuracy: 47.607:
Iteration: 83, SVM accuracy: 53.516:
Iteration: 84, SVM accuracy: 37.104:
Iteration: 85, SVM accuracy: 47.520:
Iteration: 86, SVM accuracy: 42.577:
Iteration: 87, SVM accuracy: 41.810:
Iteration: 88, SVM accuracy: 39.316:
Iteration: 89, SVM accuracy: 56.939:
Iteration: 90, SVM accuracy: 56.373:
Iteration: 91, SVM accuracy: 44.366:
Iteration: 92, SVM accuracy: 51.869:
Iteration: 93, SVM accuracy: 53.726:
Iteration: 94, SVM accuracy: 40.283:
Iteration: 95, SVM accuracy: 54.551:
Iteration: 96, SVM accuracy: 44.549:
Iteration: 97, SVM accuracy: 51.618:
Iteration: 98, SVM accuracy: 34.956:
Iteration: 99, SVM accuracy: 40.890:
Iteration: 100, SVM accuracy: 48.246:
Average SVM accuracy: 45.296:
