Iteration: 1, SVM accuracy: 36.837:
Iteration: 2, SVM accuracy: 31.714:
Iteration: 3, SVM accuracy: 44.279:
Iteration: 4, SVM accuracy: 51.184:
Iteration: 5, SVM accuracy: 52.075:
Iteration: 6, SVM accuracy: 52.708:
Iteration: 7, SVM accuracy: 51.396:
Iteration: 8, SVM accuracy: 39.429:
Iteration: 9, SVM accuracy: 41.062:
Iteration: 10, SVM accuracy: 47.807:
Iteration: 11, SVM accuracy: 36.618:
Iteration: 12, SVM accuracy: 36.362:
Iteration: 13, SVM accuracy: 46.136:
Iteration: 14, SVM accuracy: 39.683:
Iteration: 15, SVM accuracy: 54.982:
Iteration: 16, SVM accuracy: 43.942:
Iteration: 17, SVM accuracy: 53.940:
Iteration: 18, SVM accuracy: 32.385:
Iteration: 19, SVM accuracy: 42.225:
Iteration: 20, SVM accuracy: 44.606:
Iteration: 21, SVM accuracy: 53.542:
Iteration: 22, SVM accuracy: 37.205:
Iteration: 23, SVM accuracy: 40.186:
Iteration: 24, SVM accuracy: 48.547:
Iteration: 25, SVM accuracy: 31.357:
Iteration: 26, SVM accuracy: 37.710:
Iteration: 27, SVM accuracy: 32.094:
Iteration: 28, SVM accuracy: 39.459:
Iteration: 29, SVM accuracy: 38.664:
Iteration: 30, SVM accuracy: 53.738:
Iteration: 31, SVM accuracy: 50.404:
Iteration: 32, SVM accuracy: 50.170:
Iteration: 33, SVM accuracy: 44.823:
Iteration: 34, SVM accuracy: 56.253:
Iteration: 35, SVM accuracy: 43.532:
Iteration: 36, SVM accuracy: 47.316:
Iteration: 37, SVM accuracy: 30.505:
Iteration: 38, SVM accuracy: 40.374:
Iteration: 39, SVM accuracy: 37.221:
Iteration: 40, SVM accuracy: 49.389:
Iteration: 41, SVM accuracy: 45.441:
Iteration: 42, SVM accuracy: 53.255:
Iteration: 43, SVM accuracy: 44.428:
Iteration: 44, SVM accuracy: 38.198:
Iteration: 45, SVM accuracy: 36.165:
Iteration: 46, SVM accuracy: 51.829:
Iteration: 47, SVM accuracy: 56.314:
Iteration: 48, SVM accuracy: 53.974:
Iteration: 49, SVM accuracy: 41.673:
Iteration: 50, SVM accuracy: 48.137:
Iteration: 51, SVM accuracy: 50.269:
Iteration: 52, SVM accuracy: 41.621:
Iteration: 53, SVM accuracy: 32.993:
Iteration: 54, SVM accuracy: 43.771:
Iteration: 55, SVM accuracy: 30.837:
Iteration: 56, SVM accuracy: 54.888:
Iteration: 57, SVM accuracy: 37.270:
Iteration: 58, SVM accuracy: 31.901:
Iteration: 59, SVM accuracy: 42.229:
Iteration: 60, SVM accuracy: 52.958:
Iteration: 61, SVM accuracy: 54.770:
Iteration: 62, SVM accuracy: 40.296:
Iteration: 63, SVM accuracy: 36.844:
Iteration: 64, SVM accuracy: 31.059:
Iteration: 65, SVM accuracy: 44.839:
Iteration: 66, SVM accuracy: 38.237:
Iteration: 67, SVM accuracy: 44.756:
Iteration: 68, SVM accuracy: 48.709:
Iteration: 69, SVM accuracy: 35.927:
Iteration: 70, SVM accuracy: 50.005:
Iteration: 71, SVM accuracy: 41.314:
Iteration: 72, SVM accuracy: 36.923:
Iteration: 73, SVM accuracy: 49.095:
Iteration: 74, SVM accuracy: 48.953:
Iteration: 75, SVM accuracy: 47.375:
Iteration: 76, SVM accuracy: 52.250:
Iteration: 77, SVM accuracy: 37.023:
Iteration: 78, SVM accuracy: 39.235:
Iteration: 79, SVM accuracy: 46.120:
Iteration: 80, SVM accuracy: 41.946:
Iteration: 81, SVM accuracy: 40.665:
Iteration: 82, SVM accuracy: 54.039:
Iteration: 83, SVM accuracy: 45.046:
Iteration: 84, SVM accuracy: 41.349:
Iteration: 85, SVM accuracy: 34.676:
Iteration: 86, SVM accuracy: 52.857:
Iteration: 87, SVM accuracy: 54.815:
Iteration: 88, SVM accuracy: 45.553:
Iteration: 89, SVM accuracy: 48.242:
Iteration: 90, SVM accuracy: 46.453:
Iteration: 91, SVM accuracy: 40.551:
Iteration: 92, SVM accuracy: 46.521:
Iteration: 93, SVM accuracy: 29.578:
Iteration: 94, SVM accuracy: 52.227:
Iteration: 95, SVM accuracy: 56.539:
Iteration: 96, SVM accuracy: 35.267:
Iteration: 97, SVM accuracy: 49.376:
Iteration: 98, SVM accuracy: 45.552:
Iteration: 99, SVM accuracy: 46.720:
Iteration: 100, SVM accuracy: 42.646:
Average SVM accuracy: 44.044:
